farm;date_farm;AMU;AMP;AZI;AMI;GEN;TGC;TAZ;FOT;COL;NAL;TET;TMP;SMX;CHL;MERO;CIP;multidrug_res;drug_res;multiclass_res;class_res
1;01.02.2023;low;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;6;1;6
2;02.02.2023;low;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2
3;08.02.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;08.02.2023;low;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;1
5;09.02.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;15.02.2023;low;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2
7;15.02.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;16.02.2023;low;2;0;0;1;0;0;0;0;1;2;1;2;2;0;1;1;12;1;11
9;22.03.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;22.03.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;23.03.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;17.04.2023;low;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;2
13;19.04.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;20.04.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;24.04.2023;low;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;2
16;27.04.2023;high;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
17;27.04.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;15.06.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;15.06.2023;high;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;4;1;4
20;10.07.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;19.07.2023;low;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;4;1;4
22;14.07.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;28.07.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;28.07.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;07.08.2023;high;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;4;1;4
26;10.08.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;11.08.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;14.08.2023;low;2;0;0;0;0;0;0;0;0;2;1;1;1;0;1;1;8;1;8
29;17.08.2023;low;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;3;1;3
30;18.08.2023;low;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;4;1;4
31;21.08.2023;high;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;4;1;4
32;24.08.2023;low;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;6;1;6
33;25.08.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;28.08.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;28.08.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;30.08.2023;high;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;8;1;7
37;06.09.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;06.09.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;11.09.2023;low;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;3;1;3
40;13.09.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;13.09.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;14.09.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;14.09.2023;low;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;6;1;6
44;14.09.2023;high;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;15.09.2023;high;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;4;1;4
46;18.09.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;19.09.2023;low;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2
48;20.09.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;21.09.2023;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;27.09.2023;high;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;4;1;4
